id,first_name,last_name,email,balance
0,Harry,Potter,harry.potter@hogwarts.com,9000
1,Hannah,Abbott,hannah.abbott@hogwarts.com,8000
2,Katie,Bell,katie.bell@hogwarts.com,3000
3,Susan,Bones,susan.bones@hogwarts.com,1000
4,Terry,Boot,terry.boot@hogwarts.com,7855
5,Lavender,Brown,lavender.brown@hogwarts.com,4500
6,Millicent,Bulstrode,millicent.bulstrode@hogwarts.com,8965
7,Cho,Chang,cho.chang@hogwarts.com,50000
8,Penelope,Clearwater,penelope.clearwater@hogwarts.com,8000
9,Vincent,Crabbe,vincent.crabbe@hogwarts.com,5000
10,Colin,Creevey,colin.creevey@hogwarts.com,9000
